,var,val_ols,val_lasso,var_ridge
0,Avalanche,8198.685287846956,8211.818944730097,8256.509032121376
1,Coastal Flooding,3638.6972484728,3645.4507680207735,5210.9167445921485
2,Cold Wave,-10694.409606611925,-10638.946451821921,-8822.58791338887
3,Drought,1020.2945772897518,996.9726638214464,901.6532621716615
4,Earthquake,-2481.1447758699364,-2450.6103349324994,-1628.4911214020444
5,Hail,-5482.648430848675,-5499.94188076502,-5755.684648772133
6,Heat Wave,-5.403102497959391,-0.0,67.89844470419808
7,Hurricane,-3163.4301161881003,-3019.399377175384,-1852.729112036093
8,Ice Storm,-1997.6092512086639,-1932.4319897617631,-1627.622141730623
9,Landslide,1208.2135649860272,1186.4140093568017,1821.8729637092028
10,Lightning,2424.9852520561544,2282.622192920308,867.5343978033493
11,Riverine Flooding,1798.405875572478,1705.723502584039,1143.6839262663007
12,Strong Wind,-8364.974681462238,-8283.680135967876,-6462.881775749097
13,Tornado,-4381.74541633007,-4415.180563724357,-5771.014004049664
14,Tsunami,10535.067644237903,10567.799663157764,9317.91199006873
15,Volcanic Activity,-2289.425372694687,-2233.9812473545876,-1439.0061776758691
16,Wildfire,6996.616767620511,7005.690606797377,5841.514677699748
17,Winter Weather,-837.1733763224705,-861.3622574557627,-1689.8158401435435
18,Population (2020),435.20391038793747,-0.0,-956.4737677172631
19,Building Value ($),-4014.2103666653506,-3559.2226284661924,-1972.3894380577688
20,Agriculture Value ($),1757.178608412133,1766.0092605881746,1770.5367705493827
21,Area (sq mi),-2463.830659481769,-2508.4052898590257,-734.1182418248263
22,job_density_2013,15621.551330963473,15662.673251603124,14740.522350843723
23,ann_avg_job_growth_2004_2013,-683.2744184086038,-642.2026795501355,-1.8035291655132737
24,ln_wage_growth_hs_grad,-1222.025314462155,-1182.4971049372025,-1220.4676068255496
25,emp2000,4742.4433712196615,4604.283893072589,3537.7497551865254
26,foreign_share2010,16685.199892678105,16377.514886534495,9195.884684270291
27,mean_commutetime2000,2950.936456686407,3023.9250331789162,4946.257438181271
28,frac_coll_plus2000,-5020.716658519618,-4002.5460950178594,8446.397207772347
29,frac_coll_plus2010,24670.314628301352,23802.27498576104,14011.951747044954
30,hhinc_mean2000,26927.197975285442,26438.654314749554,15748.92710993549
31,med_hhinc2016,17805.206474328606,17830.25653351876,15761.01683728237
32,poor_share2000,12771.516578545867,12347.62868502402,4427.615772351081
33,poor_share2010,-4550.896610739447,-4458.371602424652,-4191.684522609464
34,share_white2000,-32518.431985749037,-39953.68700928603,-4831.775093540063
35,share_black2000,22371.212454087978,13932.196259959632,360.8478232750247
36,share_hisp2000,-3756.0071836017937,-8886.884897650514,-407.66512039473537
37,share_asian2000,19051.84308931076,16709.055754870158,3460.383607446433
38,share_white2010,24219.449842861573,31846.83351163442,1962.528895462399
39,share_black2010,-34782.57838736233,-26381.91384838609,-6321.830912825785
40,share_hisp2010,-8533.430415618555,-2764.6878389803774,-1731.8643183547733
41,share_asian2010,-23786.90557633331,-21184.436857708755,-1307.0204320196578
